Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,"$117,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist,-1,"Data Scientist Job Description:
The Consultant must have a strong understanding of the architecture, design, development and deployment of AI/ML and Advanced Analytics systems. Apply in-depth statistical methods and data science algorithms to help Smartbridge client make decisions and prioritize opportunities to drive excellence through data.
Job Responsibilities & Expectations
Assist in the planning and delivering of multiple projects.
Deliver projects/work on time, on budget, in a way that client goal is accomplished
Strong leadership skills with the ability to adapt to challenges and to mentor team members
Identify problems, develop ideas and propose solutions within different situations requiring analytical, evaluative or constructive thinking in daily work and for assigned programs and projects
Prepare and present ideas and recommendations to colleagues and upper management and aid less experienced employees as an advisor",3.1,"Smartbridge
3.1",Remote,51 to 200 Employees,2003,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
Data Scientist,$50.00 /hr (est.),"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals
Bonus Points",4.2,"WorkCog
4.2","California City, CA",51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,"$97,778 /yr (est.)","Why Housecall Pro?
Help us build solutions that build better lives. At Housecall Pro, we show up to work every day to make a difference for real people: the home service professionals that support America's 100 million homes.
We're all about the Pro, and dedicate our days to helping them streamline operations, scale their businesses, and—ultimately—save time so they can be with their families and live well. We care deeply about our customers and foster a culture where our company, employees, and Pros grow and succeed together. Leadership is as focused on growing team members' careers as they expect their teams to be on creating solutions for Pros.
We also offer:
A generous benefits program that supports the whole you with medical, dental, vision, life, disability, and 401(k)",4.5,"Housecall Pro
4.5","San Diego, CA",201 to 500 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,"$116,723 /yr (est.)","Herophilus is reinventing drug discovery for complex brain disorders by combining human brain models, scaled biology and machine learning to decode brain disease, from genetics to neural computation. We're building a world-class high-throughput cell culture, microscopy, and bioassay platform that requires integration of industry-standard and custom proprietary robotic systems. We harness the resulting deep biological insights to systematically discover novel drugs for complex neurodevelopmental and neurodegenerative diseases with a higher probability of technical success.
We are growing our data science team that's at the heart of our drug discovery efforts. We are looking for someone to help us build high-throughput data processing for microscopy images, neuron activity videos, genomics and biochemical assays. Our tech stack is primarily python in docker built atop the AWS cloud.
Candidates must have:
Demonstrable experience with data analysis and visualization on complex data sets",-1,Herophilus,"San Francisco, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,"$97,025 /yr (est.)","DK Consulting Overview: Founded in May 2003, DK Consulting, LLC, a woman-owned small business, was formed to provide management and technology solutions based on industry best practices. DK Consulting, LLC works with multiple State, Federal, and Commercial customers, and our services range from providing customers with that one 'critical resource' to assuming responsibility for an entire IT project. We maintain exceptional past performance and provide a personal touch to account management that is rarely seen in the industry today.

Duties:
Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive solutions.
Mine and analyze data from databases to drive optimization and improvement
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",5.0,"DK Consulting, LLC
5.0","Baltimore, MD",1 to 50 Employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
Data Scientist,"$97,316 /yr (est.)","Data Scientist
Location: USA
Number of Openings: 1
Job Description:
Define and implement machine learning and deep learning modeling processes to create algorithms and predictive models. Well versed with various ML/DL models, statistical algorithms, and methods. Nice to have automotive and manufacturing domain knowledge.
Technical Responsibilities:
· Experience using statistical computer languages (Python/R) to manipulate data and draw insights from large data sets.",3.2,"Next Generation
3.2","Detroit, MI",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Remote Sensing Data Scientist - $150k/yr,"$145,000 /yr (est.)","The Remote Sensing Data Scientist will design and test algorithms, conduct prototyping to evaluate possible scenarios leveraging computational and statistical techniques for the development of novel approaches for remotely sensed data.
Qualifications
o a PhD and 5 years of academic or industrial experience OR
o Masters degree and 9 years of academic or industrial experience
Remote Sensing : You are an expert in working with remotely sensed images. You have deep understating of images from different satellite constellations and experience extracting insights from satellite imagery.
Programming: You are proficient in Python or other high level programming language. You are also capable of writing clean code.",-1,Bayer,"Creve Coeur, MO",-1,-1,-1,-1,-1,-1,-1
Data Scientist,$120.00 /hr (est.),"Role
Data Scientist
Mandatory Technical Skills
· Strong experience with Data Management, Data Engineering (extract, transform, process) and Reporting
· Strong knowledge and experience on Azure Machine Learning (AML), Azure Data Factory (ADF)
· Strong experience in Python, R, SQL
· Experienced on big data technologies – Azure Data Lake, Azure Databricks, Spark
· Experienced on Power BI, Hive, Jupyter, Keras, OpenCV, TensorFlow",-1,Talent Source,Remote,-1,-1,-1,-1,-1,-1,-1
Senior Data Scientist,"$127,016 /yr (est.)","E INC is the parent company of EBloc and EDealer, unifying our approach to products, services, and strategies under one Vision and one Mission: to create the best digital auction and retailing platform in the world by connecting the automotive wholesale and retail experiences. Our brands and their technologies make it easy for a vehicle to move between buyers and sellers throughout its entire ownership lifecycle. https://e.inc

Role Summary
The Senior Data Scientist is responsible for applying advanced analytics including both descriptive and predictive analytics, and develop ML models to support the business use cases in the e-Commerce/ B2B industry for: Sales analytics, identifying cross sell and up sell opportunities, product intelligence, implement customer personalization, and pricing. This role will need to understand business requirements, conduct quick research, and generate fast prototyping by working closely with business partners. This role will need to communicate findings to ensure models are well understood and incorporated into business processes. This is a and the candidate can be based out of anywhere in Ontario or Vermont (US).",4.5,"E Inc.
4.5","Burlington, VT",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,$57.50 /hr (est.),"5+ years of experience in software development of large-scale data infrastructure and distributed systems
5+ years of experience in data extraction, transformation, statistical analysis and data modeling
5+ years of experience developing enterprise software using Java or Python
3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems
3+ years of experience using major RDBMS, SAP, Hadoop, Spark, Elasticsearch, or similar technologies
3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn,
Bachelors degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.",-1,creamitinc,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Senior Data Scientist,"$142,500 /yr (est.)","Rocket Travel is looking for a Senior Data Scientist with experience in Python and SQL to join our growing Data Science Team. Remote employment is an option for this role
The Data Science Team oversees building internal-facing decision making tools and product-facing production models that aid in scaling our growing business.
Rocket Travel is a place where you:
Work with a group of intrinsically motivated people with a track record for building successful new businesses from scratch.
Embody curiosity, community, and accountability. We live and build products by these values every day.
Own decisions and take action that can be implemented in a matter of days (or hours).",4.5,"Rocket Travel, Inc.
4.5","New York, NY",51 to 200 Employees,2012,Company - Public,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1
Lead Data Scientist,"$170,000 /yr (est.)","TITLE: Lead Data Scientist
Location: Miami, FL.

In office role 2-3 times per week. This role can be more remote at first but the person hired into this position will eventually be leading a team and scaling the Data Science practice. As a result you will need to be in office and hands on in the training of more junior team members.

This is a great opportunity to join a small financial services client as they prepare to go into hyper growth over the next few years. With your support they will derive business value through the adoption of advanced predictive models including AI and Client.

A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.


Education:



At Infinity Consulting Solutions our mission is to cultivate successful long term relationships with candidates and clients matching the right candidate with the right client. We believe technology cannot replace the real personal relationships we cultivate. We reject the notion that technology alone is the answer to staffing which is why we our successful partnerships rely on collaboration NOT automation. ICS has been providing flexible staffing solutions for over 20 years in Information Technology, Compliance, Accounting / Finance and Corporate Support. Our staffing solutions include Contract, Temp to Perm and Permanent Placement.
ICS is an Equal Opportunity Employer.",3.8,"Infinity Consulting Solutions, Inc.
3.8","Miami, FL",501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1
Senior Data Scientist,"$122,030 /yr (est.)","Afresh is on a mission to eliminate food waste and make fresh food accessible to all. Our first A.I.-powered solution optimizes ordering, forecasting, and store operations for fresh food departments in brick-and-mortar grocers. With our Fresh Operating System, regional and national grocery retailers have placed $1.6 billion in produce orders across the US and we've helped our partners prevent 6.9 million pounds of food from going to waste. Working at Afresh represents a one-of-a-kind opportunity to have massive social impact at scale by leveraging uncommonly impactful software – we hope you'll join us!
About the role
Are you someone who loves digging into messy data and rigorously and irrefutably illustrating the story underneath the numbers? Are you excited about experimentation, balanced groups, statistical power, answering questions that drive the strategy of the company, and uncovering opportunities no one else thought of leveraging data?",5.0,"Afresh
5.0","San Francisco, CA",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Sr. Data Scientist,$85.00 /hr (est.),"Responsibilities:
Ability to demonstrate algorithm development and predictive modeling to solve problems.
Domain knowledge of manufacturing processes or work experience in manufacturing support roles such as Engineering and Operations.
Must have experience with AWS.
Must have SCRUM Certification.
Ability to perform as a technical lead providing technical coaching and mentoring to others.
Proven consulting skills and experience, influence effectively, ability to resolve impediments in a timely manner.
Learning Agility / Innovative / Growth Mindset - desire and openness for continuous technical learning and identifying areas for application; willingness to deal with and thrive in uncertainty.",-1,Spotline Inc,Remote,-1,-1,-1,-1,-1,-1,-1
Data Scientist - 100% Remote,"$162,500 /yr (est.)","We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.
Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes.",-1,BlueSky Technology Solutions,Remote,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"$114,867 /yr (est.)","Who we’re looking for:
The Data Scientist will be a technology leader that will bring our Data Science practices to the next level using a hands-on approach and a passion for deriving business insights through machine learning and deep learning.
Reporting to the Group Manager Vehicle & Parts Supply Chain, the Data Scientist will support the Vehicle– Parts Supply Chains department's objective to increase NA vehicle/ parts supply chain efficiencies, finding new sources of revenue and accelerate their transformation and adoption of modern & emerging technologies/platforms.
This team member should demonstrate strong initiative, technical leadership, relationship building and influential communication skills, well organized and able to work under pressure in addition to applying the principles of the Toyota Way.",4.0,"Toyota
4.0","Plano, TX",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Senior Data Scientist,-1,"Company:

RxSense is a privately held health technology company whose mission is to make prescription drugs more affordable for everyone. We build technology platforms and data solutions that enable our customers to manage pharmacy benefits on behalf of their members, employees or clients (e.g. health plans, employers, health systems, etc.).
RxSense also provides prescription benefit solutions directly to millions of people through its consumer brand, SingleCare. We have saved our customers over $4B on prescription medications since 2015. We are working together to solve big problems and create value in an industry that is personal for everyone - healthcare.
The data science team works closely with the company’s finance, pricing and analytics teams to develop algorithms that create competitive advantage for the company. The Senior Data Scientist designs and implements machine learning algorithms needed to optimize pricing for both our direct-to-consumer business and EPS business. Working within the confines of our retail pharmacy contracts and client contracts, the Senior Data Scientist works to maximize prescription savings for our EPS clients and customers and margins for the company. The Senior Data Scientist may also support pharmacy benefit design creation, evaluation for overall effectiveness, both financially and clinically.

To perform this job successfully, an individual must be able to perform the following satisfactorily; other duties may be assigned. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",4.4,"RxSense
4.4",Remote,201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Senior Data Scientist,$80.00 /hr (est.),"We are in search of entry-level, mid and Senior Data Scientists. Our Data Scientists have access to multiple client projects across many industries each requiring complex and customized technical solutions. Our data science practices stay relevant and consistently use bleeding edge technology for business application use.
Currently, we are seeking Data Scientist
Your key responsibilities include, but are not limited to:
· Primarily responsible for the development of the Work Routing Engine project, performing data exploration, simulation, and modeling work.
Collaborate with internal stakeholders and build production-grade models and machine learning algorithms on large-scale datasets
Apply machine learning to generate customer behavior segmentation, to enhance recommendation engines, and deliver personalized user experience on an eCommerce website and loyalty mobile app",3.6,"Neal Analytics
3.6",Remote,51 to 200 Employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
Senior Data Scientist,"$147,455 /yr (est.)","Signifyd leads the world in bringing the insights, innovation and compassion required to foster fearless commerce in a time of increasing digital threats. Working with some of the industry's most recognizable retailers and brands, we are focused on using technology to enhance customer lifetime value and protect enterprises from fraud so they can focus on growing their business.
We process billions in ecommerce transactions annually through our Commerce Network of thousands of merchants selling in more than 100 countries. We focus every day on harnessing machine learning and artificial intelligence in more powerful ways to maximize our customers' revenue and their security. None of that happens without the right people.
Our team's strength is in its diversity and its acceptance of new ideas and new ways to look at old challenges. We are dedicated disruptors designing a new world of commerce at scale. We know humans are not one-dimensional and we celebrate the uniqueness each individual brings to the problems we solve and the culture we create.",4.9,"Signifyd
4.9","San Jose, CA",201 to 500 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
AWS Data Scientist,"$167,500 /yr (est.)","PhD or equivalent Master's Degree plus 4+ years of experience in Computer Science, Data Science, Machine Learning, Statistics, Mathematics, Operations Research, Economics or related field
2+ years of experience using Python, R or other traditional programming language is required
2+ years of experience in SQL
Job summary
Amazon Web Services’ Marketing Science team is looking for an applied scientist with strong technical skills in machine learning and forecasting to drive methodology improvements and tool inventions for marketing planning, goal tracking, targeting and segmentation, while developing our long term roadmap.

The successful candidate will be a hands-on self-starter, comfortable with ambiguity, humble to seek feedback and learn from peers (scientists, economists, marketing practitioners), bold to think big, has solid attention to detail and believes in challenging themselves to raise the bar continuously. The scientist will develop production models using geographical, macro-economic and customer-level panel data on forecasting, and account or segment based marketing. They will work closely with media and portfolio teams to understand business needs and with an engineering team to productionize solutions.

This role requires an individual with strong quantitative modeling skills and the ability to apply statistical/machine learning, econometric, and coding skills.

The candidate should have strong communication skills to work closely with stakeholders to translate business needs into methodology and data-driven findings into actionable insights. The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, and ability to work in a fast-paced and ever-changing environment.

Key job responsibilities
About the team
Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $142-193k/yr. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon Web Services, Inc.
3.8",Remote,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)","$150,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and innovative technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers!
WHO WE ARE LOOKING FOR
WHAT YOU WILL WORK ON
WHO YOU WILL WORK WITH",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Cybersecurity Data Scientist - Bot Management,"$106,721 /yr (est.)","About Us
At Cloudflare, we have our eyes set on an ambitious goal: to help build a better Internet. Today the company runs one of the world's largest networks that powers approximately 25 million Internet properties, for customers ranging from individual bloggers to SMBs to Fortune 500 companies. Cloudflare protects and accelerates any Internet application online without adding hardware, installing software, or changing a line of code. Internet properties powered by Cloudflare all have web traffic routed through its intelligent global network, which gets smarter with every request. As a result, they see significant improvement in performance and a decrease in spam and other attacks. Cloudflare was named to Entrepreneur Magazine's Top Company Cultures list and ranked among the World's Most Innovative Companies by Fast Company.
We realize people do not fit into neat boxes. We are looking for curious and empathetic individuals who are committed to developing themselves and learning new skills, and we are ready to help you do that. We cannot complete our mission without building a diverse and inclusive team. We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare. Come join us!",3.9,"Cloudflare
3.9","Austin, TX",501 to 1000 Employees,2010,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
Lead Data Scientist,"$133,311 /yr (est.)","Job Title:
Lead Data Scientist, Mobile Product
Requisition ID:
R013080
Job Description:
Your Mission is:
We are looking for a talented Lead Data Scientist to join our Mobile Analytics team. The team’s goal is to put science into product decisions and help to make a better game for both players and the company. You will be the technical leader for the product data science discipline, with the opportunity to take on a managerial role. First year responsibilities include:",3.3,"Activision
3.3","Santa Monica, CA",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),-1
